index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
0,10,0,0.00123389,1488,2.04691,-108,0.00118723,7944,9.61224
1,10,1,0.00246779,1480,2.03737,-112,-0.00356168,7944,9.61224
2,10,2,0.00370168,1504,2.06599,-116,-0.00831058,8032,9.7165
3,10,3,0.00493558,1532,2.09938,-124,-0.0178084,8020,9.70228
4,10,4,0.00616947,1480,2.03737,-128,-0.0225573,7968,9.64067
5,10,5,0.00740337,1456,2.00875,-104,0.00593613,8008,9.68806
6,10,6,0.00863726,1508,2.07076,-80,0.0344295,7984,9.65963
7,10,7,0.00987116,1472,2.02783,-88,0.0249317,8004,9.68332
8,10,8,0.0111051,1504,2.06599,-88,0.0249317,8056,9.74493
9,10,9,0.0123389,1472,2.02783,-96,0.0154339,8028,9.71176
10,10,10,0.0135728,1464,2.01829,-96,0.0154339,8080,9.77336
11,10,11,0.0148067,1456,2.00875,-64,0.0534251,8104,9.8018
12,10,12,0.0160406,1440,1.98967,-56,0.0629229,8156,9.8634
13,10,13,0.0172745,1504,2.06599,-80,0.0344295,8112,9.81127
14,10,14,0.0185084,1456,2.00875,-80,0.0344295,8116,9.81601
15,10,15,0.0197423,1440,1.98967,-136,-0.0320551,8028,9.71176
16,11,0,0.0209762,1488,2.04691,-108,0.00118723,7944,9.61224
17,11,1,0.0222101,1480,2.03737,-112,-0.00356168,7944,9.61224
18,11,2,0.023444,1504,2.06599,-116,-0.00831058,8032,9.7165
19,11,3,0.0246779,1532,2.09938,-124,-0.0178084,8020,9.70228
20,11,4,0.0259118,1480,2.03737,-128,-0.0225573,7968,9.64067
21,11,5,0.0271457,1456,2.00875,-104,0.00593613,8008,9.68806
22,11,6,0.0283796,1508,2.07076,-80,0.0344295,7984,9.65963
23,11,7,0.0296135,1472,2.02783,-88,0.0249317,8004,9.68332
24,11,8,0.0308474,1504,2.06599,-88,0.0249317,8056,9.74493
25,11,9,0.0320813,1472,2.02783,-96,0.0154339,8028,9.71176
26,11,10,0.0333152,1464,2.01829,-96,0.0154339,8080,9.77336
27,11,11,0.0345491,1456,2.00875,-64,0.0534251,8104,9.8018
28,11,12,0.035783,1440,1.98967,-56,0.0629229,8156,9.8634
29,11,13,0.0370168,1504,2.06599,-80,0.0344295,8112,9.81127
30,11,14,0.0382507,1456,2.00875,-80,0.0344295,8116,9.81601
31,11,15,0.0394846,1440,1.98967,-136,-0.0320551,8028,9.71176
32,12,0,0.0407185,1752,2.36173,-132,-0.0273062,7892,9.55063
33,12,1,0.0419524,1736,2.34265,-116,-0.00831058,8020,9.70228
34,13,0,0.0431863,1736,2.34265,-104,0.00593613,7952,9.62172
35,13,1,0.0444202,1696,2.29495,-72,0.0439273,7984,9.65963
36,13,2,0.0456541,1680,2.27587,-96,0.0154339,8004,9.68332
37,13,3,0.046888,1704,2.30449,-108,0.00118723,8012,9.6928
38,13,4,0.0481219,1720,2.32357,-104,0.00593613,8040,9.72597
39,13,5,0.0493558,1704,2.30449,-124,-0.0178084,8048,9.73545
40,13,6,0.0505897,1712,2.31403,-140,-0.036804,8048,9.73545
41,13,7,0.0518236,1696,2.29495,-124,-0.0178084,8020,9.70228
42,14,0,0.0530575,1744,2.35219,-116,-0.00831058,8044,9.73071
43,14,1,0.0542914,1744,2.35219,-104,0.00593613,8036,9.72123
44,14,2,0.0555253,1696,2.29495,-100,0.010685,8044,9.73071
45,14,3,0.0567592,1648,2.23771,-140,-0.036804,8024,9.70702
46,14,4,0.0579931,1736,2.34265,-104,0.00593613,8060,9.74967
47,14,5,0.059227,1680,2.27587,-144,-0.0415529,8080,9.77336
48,14,6,0.0604609,1668,2.26156,-108,0.00118723,8012,9.6928
49,14,7,0.0616947,1660,2.25202,-144,-0.0415529,8008,9.68806
50,15,0,0.0629286,1696,2.29495,-176,-0.0795441,8044,9.73071
51,15,1,0.0641625,1608,2.19001,-128,-0.0225573,8048,9.73545
52,15,2,0.0653964,1660,2.25202,-152,-0.0510507,8040,9.72597
53,15,3,0.0666303,1632,2.21863,-148,-0.0463018,7976,9.65015
54,15,4,0.0678642,1592,2.17093,-144,-0.0415529,8008,9.68806
55,15,5,0.0690981,1592,2.17093,-152,-0.0510507,7976,9.65015
56,15,6,0.070332,1624,2.20909,-128,-0.0225573,7976,9.65015
57,15,7,0.0715659,1552,2.12323,-120,-0.0130595,7980,9.65489
58,16,0,0.0727998,1616,2.19955,-128,-0.0225573,7928,9.59328
59,16,1,0.0740337,1552,2.12323,-124,-0.0178084,7920,9.58381
60,16,2,0.0752676,1512,2.07553,-176,-0.0795441,7960,9.6312
61,16,3,0.0765015,1584,2.16139,-96,0.0154339,7952,9.62172
62,16,4,0.0777354,1544,2.11369,-100,0.010685,7968,9.64067
63,16,5,0.0789693,1524,2.08984,-80,0.0344295,7824,9.47007
64,16,6,0.0802032,1496,2.05645,-112,-0.00356168,7968,9.64067
65,16,7,0.0814371,1496,2.05645,-52,0.0676719,7936,9.60276
66,17,0,0.082671,1516,2.0803,-56,0.0629229,7920,9.58381
67,17,1,0.0839049,1456,2.00875,-136,-0.0320551,7884,9.54116
68,17,2,0.0851388,1488,2.04691,-160,-0.0605485,7952,9.62172
69,17,3,0.0863726,1448,1.99921,-128,-0.0225573,7944,9.61224
70,17,4,0.0876065,1476,2.0326,-136,-0.0320551,8008,9.68806
71,17,5,0.0888404,1416,1.96105,-100,0.010685,7972,9.64541
72,17,6,0.0900743,1456,2.00875,-132,-0.0273062,7988,9.66437
73,17,7,0.0913082,1448,1.99921,-128,-0.0225573,7968,9.64067
74,18,0,0.0925421,1408,1.95151,-128,-0.0225573,7968,9.64067
75,18,1,0.093776,1424,1.97059,-92,0.0201828,7984,9.65963
76,18,2,0.0950099,1436,1.9849,-96,0.0154339,7936,9.60276
77,18,3,0.0962438,1448,1.99921,-124,-0.0178084,8036,9.72123
78,18,4,0.0974777,1448,1.99921,-144,-0.0415529,8032,9.7165
79,18,5,0.0987116,1440,1.98967,-124,-0.0178084,8064,9.75441
80,18,6,0.0999455,1424,1.97059,-124,-0.0178084,8036,9.72123
81,18,7,0.101179,1432,1.98013,-80,0.0344295,8036,9.72123
82,19,0,0.102413,1424,1.97059,-132,-0.0273062,8056,9.74493
83,19,1,0.103647,1472,2.02783,-136,-0.0320551,8028,9.71176
84,19,2,0.104881,1424,1.97059,-116,-0.00831058,7988,9.66437
85,19,3,0.106115,1408,1.95151,-128,-0.0225573,7984,9.65963
86,19,4,0.107349,1400,1.94197,-96,0.0154339,7988,9.66437
87,19,5,0.108583,1432,1.98013,-92,0.0201828,7976,9.65015
88,19,6,0.109817,1456,2.00875,-116,-0.00831058,7908,9.56959
89,19,7,0.111051,1408,1.95151,-100,0.010685,7884,9.54116
90,20,0,0.112284,1432,1.98013,-108,0.00118723,7864,9.51746
91,20,1,0.113518,1424,1.97059,-128,-0.0225573,7904,9.56485
92,20,2,0.114752,1432,1.98013,-148,-0.0463018,7876,9.53168
93,20,3,0.115986,1440,1.98967,-124,-0.0178084,7916,9.57907
94,20,4,0.11722,1432,1.98013,-136,-0.0320551,7900,9.56011
95,20,5,0.118454,1424,1.97059,-124,-0.0178084,7920,9.58381
96,20,6,0.119688,1440,1.98967,-96,0.0154339,7964,9.63593
97,20,7,0.120922,1440,1.98967,-96,0.0154339,7952,9.62172
98,21,0,0.122156,1412,1.95628,-16,0.110412,7920,9.58381
99,21,1,0.123389,1456,2.00875,-56,0.0629229,7920,9.58381
100,21,2,0.124623,1448,1.99921,-108,0.00118723,7916,9.57907
